slot id,date from,date to,tags
17,2008-02-18,2008-02-25,polityka-kultura-włóczykij-wycieczki śmieszne-dolny śląsk-wrocław-po-antysemityzm-kikliński-kosowo-wiersz-polska-młodzi i starzy-iiirp-praktyki-ludzie-nauczyciel-dan brown-oun-chlebowski
18,2008-02-21,2008-02-28,polityka-kultura-włóczykij-wycieczki śmieszne-dolny śląsk-muzyka-pis-współczecha-po-wrocław-małkowski-gwiezdnewojny-kikliński-młodzi i starzy-sąd-ranking-eureko-pzpr-festiwale-polska
19,2008-02-24,2008-03-02,polityka-kultura-włóczykij-wycieczki śmieszne-muzyka-dolny śląsk-współczecha-pis-małkowski-gwiezdnewojny-sąd-knb-krawczyk-ue-wrocław-stowarzyszenie-pzpr-festiwale-eureko-afera
20,2008-02-27,2008-03-05,polityka-kultura-włóczykij-wycieczki śmieszne-pis-dolny śląsk-ue-gronkiewicz-waltz-knb-gwiezdnewojny-dzieci-krawczyk-małkowski-afera-wiersz-eureko-stowarzyszenie-kwaśniak-bałt-pzpr
21,2008-03-01,2008-03-08,polityka-kultura-sopot-hajdamaczyzna-wiersz-dzieci-monachium-wybory-zaolzie-retrospekcje-heteroseksualizm-lewica-liberalizm-żydzi-czechosłowacja-2010-przyczyny-etatyzm-Tagi:-samorząd
22,2008-03-04,2008-03-11,polityka-kultura-sopot-vilnius-litwa-lietuva-13.1.1991-zsrr-wilno-gorbi-włóczykij-retrospekcje-lewica-liberalizm-żydzi-czechosłowacja-salon24-2010-baby kameralne-przyczyny
23,2008-03-07,2008-03-14,polityka-kultura-sopot-13.1.1991-zsrr-wrocław-lietuva-wilno-włóczykij-gorbi-vilnius-litwa-salon24-kalizm-baby kameralne-etatyzm-media-strategia podstępu-dzień kobiet-internet
24,2008-03-10,2008-03-17,polityka-kultura-sopot-wrocław-wybory-mag absywiusz-pis-włóczykij-zsrr-13.1.1991-lietuva-baśń-rycerz gotfryd-gorbi-litwa-panna judyta-wilno-vilnius-ludzie-środowisko
25,2008-03-13,2008-03-20,polityka-kultura-kaczyński-ue-sopot-pis-baśń-wybory-mag absywiusz-po-referendum-panna judyta-rycerz gotfryd-tusk-ludzie-środowisko-ukraina-wrocław-tvn 24-retrospekcje
26,2008-03-16,2008-03-23,polityka-kultura-sopot-kaczyński-po-włóczykij-ue-referendum-wykaz notek-tusk-pis-podatki-ludzie-miłość-duchowość-baśń-panna judyta-wybory-wiersz-spotkanie
27,2008-03-19,2008-03-26,polityka-kultura-wykaz notek-sopot-włóczykij-spotkanie-ukraina-wiersz-ue-kris kristofferson-ikona-podatki-doroszewska-miłość-azrael-ekonomia i biznes-elmore james-konserwatyzm-cywilizacja-duchowość
28,2008-03-22,2008-03-29,polityka-kultura-wykaz notek-włóczykij-sopot-różności-spotkanie-duchowość-zsrr-azrael-kris kristofferson-lipniki-ikona-cywilizacja-wiersz-konserwatyzm-manipulacja-elmore james-doroszewska-wycieczki śmieszne
29,2008-03-25,2008-04-01,polityka-kultura-chronologia-włóczykij-dolny śląsk-manipulacja-wycieczki śmieszne-katyń-lipniki-kris kristofferson-ratyfikacja-zsrr-doroszewska-elmore james-wykaz notek-azrael-konserwatyzm-stanowski-ontologia-cywilizacja
30,2008-03-28,2008-04-04,polityka-kultura-włóczykij-idee-wykaz notek-doroszewska-naimska-chronologia-dolny śląsk-sopot-e-usługi-duchowość-retrospekcje-rycerz gotfryd-epuap-lewica-pesel2-kierownik-ontologia-ratyfikacja
31,2008-03-31,2008-04-07,polityka-kultura-doroszewska-idee-gdańsk-wykaz notek-sopot-góry-naimska-włóczykij-ludzie-retrospekcje-baśń-epuap-e-usługi-e-administracja-lewica-pesel2-ontologia-panna judyta
32,2008-04-03,2008-04-10,polityka-kultura-ludzie-gdańsk-włóczykij-góry-policja ukraińska-polnische schutzmannschaften-letnica-rycerz gotfryd-prawica-jakub karpinski-maksym boroweć-gdańsk . letnica-chronologia-nowy port-podsumowania-rosjanie-kolaboracja-mag absywiusz
33,2008-04-06,2008-04-13,polityka-kultura-góry-włóczykij-ludzie-dedykacje-panna judyta-polnische schutzmannschaften-nicpoń-rosjanie-kolaboracja-mag absywiusz-olewnik-rosja-wsi-policja ukraińska-rycerz gotfryd-zsrr-spotkanie-wycieczki śmieszne
34,2008-04-09,2008-04-16,polityka-kultura-włóczykij-góry-wsi-rosjanie-zsrr-rosja-agentura-bulhakov-freud-polnische schutzmannschaften-dedykacje-михаил булгаков-rosyjska kultura-celibat-antyklerykalizm-dolny śląsk-nicpoń-macierewicz
35,2008-04-12,2008-04-19,polityka-kultura-góry-włóczykij-dedykacje-rosja-sopot-żydzi-bóg-woland-powstanie warszawskie-św. tomasz z akwinu-ludzie-ak-ateizm-spotkanie-bulhakov-tarcza-katyń-agentura
36,2008-04-15,2008-04-22,polityka-kultura-góry-włóczykij-bóg-sopot-żydzi-rosja-powstanie warszawskie-ludzie-ak-agentura-gruzja-getto-trójca święta-dedykacje-dolny śląsk-po-wiara-przyczynowość
37,2008-04-18,2008-04-25,polityka-kultura-włóczykij-ludzie-wrocław-góry-rosja-hajdamaczyzna-ak-litwa-ue-psychologia-anioły-dziennik-polska-freud-samoobrona-manipulacja-wielki czwartek-warto rozmawiać
38,2008-04-21,2008-04-28,polityka-kultura-olewnik-tusk-ludzie-po-wrocław-rosja-włóczykij-ue-krauze-polska-ziobro-ak-manipulacja-wielki czwartek-warto rozmawiać-dziennik-wiersz-anioły
39,2008-04-24,2008-05-01,polityka-kultura-prawda-ludzie-życie-wiersz-wrocław-ii rp-krauze-afera marszałkowa-ue-włóczykij-anioły-retrospekcje-wykształciuch-freud-psychologia-człowiek-abw czyli o biblii-dedykacje
40,2008-04-27,2008-05-04,polityka-kultura-gdańsk-prawda-olewnik-chronologia-włóczykij-ludzie-afera marszałkowa-pro milito-mennonici-kąty-retrospekcje-agentura-wykształciuch-wyspa sobieszewska-samoobrona-człowiek-góry-molotow
41,2008-04-30,2008-05-07,polityka-kultura-gdańsk-wyspa sobieszewska-włóczykij-mennonici-góry-chronologia-spotkanie-anioły-agentura-wykształciuch-ksiądz jerzy-samoobrona-komunizm-molotow-prawica-hartman-dolny śląsk-media
42,2008-05-03,2008-05-10,"polityka-kultura-gdańsk-wyspa sobieszewska-grodzisko-mennonici-prawica-agentura-edukacja-chronologia-komunizm-komunistyczna ideologizacja-wizy-fałszywa historia polski borodzieja-emigracja-""czarna księga komunizmu ii""-wycieczki śmieszne-sb a historiografia rp-spotkanie-sowietyzacja"
43,2008-05-06,2008-05-13,polityka-kultura-gdańsk-grodzisko-afganistan-pis-dziennikarze-media-edukacja-emigracja-wizy-wycieczki śmieszne-manipulacja-sowietyzacja-sondaż-spotkanie-ue-wrocław-wiktor borodziej-ludzie
44,2008-05-09,2008-05-16,polityka-kultura-pis-gdańsk-media-góry-gazeta wyborcza-afganistan-dziennikarze-spotkanie-chronologia-grodzisko-manipulacja-włóczykij-kaczyński-dowód wielofunkcyjny-zsrr-wizy-wycieczki śmieszne-sondaż
45,2008-05-12,2008-05-19,polityka-kultura-włóczykij-góry-afera marszałkowa-media-spotkanie-dowód wielofunkcyjny-kaczyński-prezydent-przyczyny-andrzej szeptycki-dolny śląsk-chronologia-pis-dowód biometryczny-oliwa-dziennikarze-gdańsk-wsi
46,2008-05-15,2008-05-22,polityka-kultura-góry-włóczykij-po-przewoźnik-afera marszałkowa-ak-prl-naturysta-anioły-niesiołowski-anoda-ipn-psl-kazimierz kutz-hel-tusk-kurtyka-donald tusk
47,2008-05-18,2008-05-25,polityka-kultura-po-podatki-przewoźnik-ludzie-ak-smoleński-prl-naturysta-anioły-niesiołowski-anoda-ipn-dedykacje-psl-kazimierz kutz-przyczyny-hel-ludobójstwo
48,2008-05-21,2008-05-28,polityka-kultura-kaszuby-po-gazeta wyborcza-pis-chronologia-bytów-dedykacje-przyczyny-ludobójstwo-demianiuk-wałęsa-kłym sawur-nazgul-kuroń-ss galizien-wojna chłopska-rostowski-niemilia
49,2008-05-24,2008-05-31,polityka-kultura-kaszuby-po-bytów-włóczykij-gazeta wyborcza-cesko-afera marszałkowa-smoleński-czechy-kozłowski-góry-tleskac-zagadka-marszałek-czesi-a1-dolny śląsk-chronologia
50,2008-05-27,2008-06-03,polityka-kultura-kaszuby-gdańsk-po-afera marszałkowa-chronologia-wycieczki śmieszne-ksiądz jerzy-kościół-baśń-ludzie-cesko-ue-manipulacja-hajdamaczyzna-kozłowski-iiirp-goci-czechy
51,2008-05-30,2008-06-06,polityka-kultura-sopot-chronologia-włóczykij-zagadka-kolonia-kaszuby-dolny śląsk-gdańsk-wycieczki śmieszne-ue-afera marszałkowa-dermań-hajdamaczyzna-ludzie-tvn-baśń-góry-goci
52,2008-06-02,2008-06-09,polityka-kultura-sopot-włóczykij-chronologia-kolonia-zagadka-gdańsk-pani łyżeczka-cba-dobro-zło-dolny śląsk-wolna wola-hurby-bóg-podsumowania-służby-wsi-racjonalizm
53,2008-06-05,2008-06-12,polityka-kultura-sopot-zagadka-włóczykij-gdańsk-wsi-kłamstwo-dermań-mafia-anioły-agentura-paweł finder-nikczemnienie-prawda-dedykacje-sld-pani łyżeczka-gtc-sławomir rawicz
54,2008-06-08,2008-06-15,polityka-kultura-zagadka-sopot-gdańsk-włóczykij-wsi-wycieczki śmieszne-ue-spotkanie-afera marszałkowa-smoleński-nikczemnienie-kłamstwo-ludzie-agentura-karnowski-anioły-mafia-książki
55,2008-06-11,2008-06-18,polityka-kultura-zagadka-gdańsk-włóczykij-sopot-wycieczki śmieszne-baśń-mag absywiusz-góry-rycerz gotfryd-panna judyta-dolny śląsk-afera marszałkowa-ludzie-ksiądz jerzy-karnowski-chlebowski-sowieci-książki
56,2008-06-14,2008-06-21,polityka-kultura-włóczykij-gdańsk-zagadka-rycerz gotfryd-idee-dolny śląsk-mag absywiusz-różności-panna judyta-wycieczki śmieszne-afera marszałkowa-baśń-góry-celiński-książki-tarcza-lech kaczyński-andrzej celiński
57,2008-06-17,2008-06-24,polityka-kultura-włóczykij-zagadka-gdańsk-brzeźno-sopot-różności-idee-litwa-andrzej kapkowski-wiersz-andrzej celiński-tarcza-lech kaczyński-marian zacharski-ue-przyszłość-afera marszałkowa-ludzie
58,2008-06-20,2008-06-27,polityka-kultura-włóczykij-gdańsk-zagadka-idee-sopot-różności-rycerz gotfryd-andrzej kapkowski-emigracja-wycieczki śmieszne-wizy-wtopa.-upa-wiersz-wywiad prl-marian zacharski-mykoła łebed'-ludzie
59,2008-06-23,2008-06-30,polityka-kultura-zagadka-sopot-włóczykij-wycieczki śmieszne-dolny śląsk-góry-gdańsk-chronologia-polska-mykoła łebed'-pro milito-proste pytanie-rycerz gotfryd-upa-baśń-barbarzyństwo-wtopa.-panna judyta
60,2008-06-26,2008-07-03,polityka-kultura-lustracja-sopot-chronologia-włóczykij-wsi-pro milito-zagadka-wycieczki śmieszne-służby-dolny śląsk-góry-ue-manipulacja-emigracja-wizy-ubekistan-pzpr-podlasie
61,2008-06-29,2008-07-06,polityka-kultura-chronologia-lustracja-wizy-emigracja-ubekistan-polonia-sopot-włóczykij-góry-pro milito-manipulacja-ue-pzpr-wsi-wycieczki śmieszne-sergiej rachmaninow-ksiądz jerzy-ppr
62,2008-07-02,2008-07-09,polityka-kultura-włóczykij-góry-ak-lustracja-nocne-ipn-podlasie-chronologia-pod wyrwigroszem-powstanie warszawskie-celiński-ue-ksiądz jerzy-manipulacja-bór-białystok-emigracja-proste pytanie
63,2008-07-05,2008-07-12,polityka-kultura-góry-włóczykij-ak-podlasie-nocne-ipn-powstanie warszawskie-soros-pod wyrwigroszem-lech wałęsa-bór-juliusz słowacki-tykocin-propaganda-prawda-grunwald-dedykacje-obciach
64,2008-07-08,2008-07-15,polityka-kultura-góry-włóczykij-ak-dolny śląsk-chronologia-litwa-ipn-ukraina-lech wałęsa-pod wyrwigroszem-andrzej celiński-historia-soros-propaganda-powstanie warszawskie-komunizm-celiński-pułkownik kukliński
65,2008-07-11,2008-07-18,polityka-kultura-włóczykij-chronologia-sprawiedliwi ukraińcy-filozofia-litwa-soros-marzenia-wycieczki śmieszne-miłość-pułkownik kukliński-kolektywizm-agentura-ironia-pseudointelektualiści-liberalizm-podlasie-komunizm-relacja
66,2008-07-14,2008-07-21,polityka-kultura-włóczykij-podlasie-chronologia-filozofia-wigry-wsi-góry-dziennikarze-ironia-kolektywizm-miłość-tvn24-arabowie-wiersz-zagadka-proste pytanie-relacja-agentura
67,2008-07-17,2008-07-24,polityka-kultura-podlasie-wigry-góry-włóczykij-dziennikarze-wsi-arabowie-kolektywizm-tvn24-agentura-liberalizm-wierzejski-propaganda-idee-prawda-judaizm-prawica-michnik
68,2008-07-20,2008-07-27,polityka-kultura-podlasie-sejm-włóczykij-białowieża-cerkiew-wsi-góry-komorowski-wybór-propaganda-platforma-prawda-kierkegaard-przyczyny-judaizm-michnik-sikorski-chrześcijaństwo
69,2008-07-23,2008-07-30,polityka-kultura-podlasie-włóczykij-powstanie warszawskie-pis-media-białowieża-sejm-geremek-po-góry-1944-afera marszałkowa-ubelisk-wycieczki śmieszne-ludzie rozumni-cerkiew-ii wojna światowa-hajdamaczyzna
70,2008-07-26,2008-08-02,polityka-kultura-powstanie warszawskie-podlasie-gazeta wyborcza-tykocin-ak-ludzie-polska-ziobro-wycieczki śmieszne-spotkanie-film-afera marszałkowa-kanały-włóczykij-hajnówka-niemcy-bór-1944
71,2008-07-29,2008-08-05,polityka-kultura-podlasie-spotkanie-włóczykij-afera marszałkowa-dookoła wojtek-media-po-tykocin-ziobro-kruszyniany-pis-powstanie warszawskie-meczet-manipulacja-wycieczki śmieszne-kanały-historia-anioły
72,2008-08-01,2008-08-08,polityka-kultura-podlasie-spotkanie-włóczykij-afera marszałkowa-sumliński-powstanie warszawskie-dookoła wojtek-stare baby-anioły-po-kruszyniany-wsi-ludzie-tykocin-meczet-warszawa-prokuratura-manipulacja
73,2008-08-04,2008-08-11,polityka-kultura-włóczykij-sumliński-wrocław-spotkanie-zagadka-afera marszałkowa-podlasie-litwa-salon24-lichocki-ludzie-meczet-ksiądz jerzy-powstanie warszawskie-grodzisko-rossini-anioły-prokuratura
74,2008-08-07,2008-08-14,polityka-kultura-włóczykij-litwa-wrocław-zagadka-sumliński-gruzja-rosja-spotkanie-anioły-afera marszałkowa-ludzie-powstanie warszawskie-maria dzielska-testowanie-rossini-równouprawnienie-grodzisko-czeczenia
75,2008-08-10,2008-08-17,polityka-kultura-włóczykij-absurdy-sumliński-wrocław-afera marszałkowa-litwa-gdańsk-rosja-media-gruzja-troki-maksym boroweć-hypatia-ns24-stare baby-komorowski-serce syna-nowe technologie
76,2008-08-13,2008-08-20,polityka-kultura-komorowski-absurdy-afera marszałkowa-włóczykij-gdańsk-góry-barysiówka-dolny śląsk-zagadka-spotkanie-anioły-sumliński-główne miasto-media-stare baby-serce syna-sokrates-wilno
77,2008-08-16,2008-08-23,polityka-kultura-komorowski-gdańsk-afera marszałkowa-zagadka-spotkanie-włóczykij-anioły-dolny śląsk-góry-barysiówka-media-stare przedmieście-rydzyk-ojciec rydzyk-film-mozart-mennonici-ptaki
78,2008-08-19,2008-08-26,polityka-kultura-zagadka-gdańsk-afera marszałkowa-komorowski-ekonomia-terroryzm-włóczykij-rydzyk-ojciec rydzyk-izrael-europa21-mennonici-film-piramida-mozart-polonia-salon24-moralność
79,2008-08-22,2008-08-29,polityka-kultura-gdańsk-komorowski-debata-wiersz-zagadka-afera marszałkowa-sprawiedliwi ukraińcy-europa-muzyka-izrael-włóczykij-kiszczak-inteligencja-ludzie-góry-lewica-spotkanie-europa21
80,2008-08-25,2008-09-01,polityka-kultura-wiersz-komorowski-chronologia-włóczykij-debata-góry-gdańsk-europa-sprawiedliwi ukraińcy-liban-polska-westerplatte-1939-maronici-afera marszałkowa-foto-falangi libańskie-spotkanie
81,2008-08-28,2008-09-04,polityka-kultura-foto-wiersz-włóczykij-komorowski-chronologia-historia-liban-rosja-maronici-różności-westerplatte-góry-falangi libańskie-star trek-jugendamt-norman davies-wrocław-litwa
82,2008-08-31,2008-09-07,polityka-kultura-foto-gdańsk-po-komorowski-afera marszałkowa-różności-historia-pis-wsi-oliwa-anioły-włóczykij-zagadka-westerplatte-wrocław-spotkanie-wiersz-test
83,2008-09-03,2008-09-10,polityka-kultura-gdańsk-komorowski-zagadka-afera marszałkowa-włóczykij-idee-po-wrocław-wsi-zamczysko-test-różności-anioły-spotkanie-oliwa-rydzyk-gpec-* westerplatte * chochlew *
84,2008-09-06,2008-09-13,polityka-kultura-gdańsk-zagadka-historia-włóczykij-anioły-spotkanie-salon24-idee-zamczysko-komorowski-matka kurka-stosunki miedzynarodowe-po-różności-salon24.pl-jesień-wrocław-wsi
85,2008-09-09,2008-09-16,polityka-kultura-salon24.pl-zagadka-gdańsk-logowanie-różności-włóczykij-polityczna agentura wpływu-spotkanie-nowe technologie-notka-idee-anioły-hasło-szukaj-wsi-wyszukiwarka-nick-jesień
86,2008-09-12,2008-09-19,polityka-kultura-salon24.pl-zagadka-gdańsk-włóczykij-polityczna agentura wpływu-logowanie-komunizm-nowe technologie-historia-różności-spotkanie-anioły-hasło-notka-prl-szukaj-komentarz-youtube
87,2008-09-15,2008-09-22,polityka-kultura-salon24.pl-zagadka-gdańsk-włóczykij-logowanie-komunizm-wrocław-afryka-polityczna agentura wpływu-rodezja-absurd-notka-hasło-różności-wyszukiwarka-szukaj-nie pamiętam hasła-historia
88,2008-09-18,2008-09-25,polityka-kultura-zagadka-gdańsk-wrocław-włóczykij-gospodarka-absurd-wiersz-polityczna agentura wpływu-oliwa-społeczenstwo-powstanie warszawskie-książki-polska-jako przezentacja przeciętności-stare miasto-naród-historia-ak
89,2008-09-21,2008-09-28,"polityka-kultura-zagadka-gdańsk-włóczykij-wrocław-oliwa-gospodarka-społeczenstwo-wiersz-stare miasto-loda halama-polityczna agentura wpływu-jako przezentacja przeciętności-historia-ludzie-socjalizm-baon ""zośka""-andrzej włast-polska"
90,2008-09-24,2008-10-01,polityka-kultura-zagadka-gdańsk-włóczykij-oliwa-historia-wrocław-agentura-loda halama-wiersz-somalia-chrystus polifoniczny-etiopia-socjalizm-ratunek-spotkanie-ścios-piractwo-jako przezentacja przeciętności
91,2008-09-27,2008-10-04,polityka-kultura-zagadka-gdańsk-różności-historia-włóczykij-agentura-sb-komunizm-rynek finansowy-biznes-wrzeszcz-wrocław-prawda o technologii jądrowej-różnica-religia-poprawa jakości salonu24-chrystus polifoniczny-iiirp
92,2008-09-30,2008-10-07,polityka-kultura-zagadka-gdańsk-wybory-wrzeszcz-historia-komunizm-debata-włóczykij-różności-spotkanie-anioły-wydarzenie dnia-emigracja-polonia-salon24-biznes-prl-polska
93,2008-10-03,2008-10-10,polityka-kultura-zagadka-gdańsk-wydarzenie dnia-wybory-debata-wrzeszcz-polska-włóczykij-prl-polonia-kościół-emigracja-komunizm-salon24-historia-anioły-agentura-spotkanie
94,2008-10-06,2008-10-13,polityka-kultura-zagadka-gdańsk-polska-wydarzenie dnia-lech kaczyński-włóczykij-rosja-polonia-demokracja-góry-debata-wrzeszcz-anioły-wybory-juszczenko-ukraina-historia-emigracja
95,2008-10-09,2008-10-16,polityka-kultura-wydarzenie dnia-lech kaczyński-zagadka-włóczykij-gdańsk-donald tusk-góry-spotkanie-anioły-historia-barysiówka-dolny śląsk-polska-debata-konstytucja-wsi-kaczyński-prl
96,2008-10-12,2008-10-19,polityka-kultura-lech kaczyński-wydarzenie dnia-donald tusk-spotkanie-góry-anioły-włóczykij-barysiówka-prezydent-polska-kaczyński-zagadka-dolny śląsk-gdańsk-konstytucja-polonia-emigracja-premier
97,2008-10-15,2008-10-22,polityka-kultura-historia-salon24.pl-lech kaczyński-salon24-wydarzenie dnia-prezydent-biznes-ekonomia-zus-zagadka-operacja kameleon-donald tusk-operacja brema-lewica-polska-włóczykij-emigracja-tarnów
98,2008-10-18,2008-10-25,polityka-kultura-historia-salon24.pl-salon24-prezydent-polska-gdańsk-po-pis-zagadka-wydarzenie dnia-wsi-socjalizm-spoleczenstwo-lewica-wrzeszcz-biznes-hiszpania-tarnów
99,2008-10-21,2008-10-28,polityka-kultura-gdańsk-zagadka-polska-po-kryzys-wydarzenie dnia-historia-debata-pis-tusk-biznes-prezydent-kaczyński-foto-1945-stwórca-laitman-włóczykij
100,2008-10-24,2008-10-31,polityka-kultura-debata-gdańsk-zagadka-polska-salon24.pl-kryzys-biznes-nowy salon-włóczykij-michnik-wrzeszcz-tusk-po-platforma-lech kaczyński-prawda-foto-1945
101,2008-10-27,2008-11-03,polityka-kultura-gdańsk-salon24.pl-historia-debata-zagadka-polska-biznes-kryzys-wydarzenie dnia-nowy salon-włóczykij-stalin-tusk-prawda-kazimierz bańburski-prawica-wrocław-lewica
102,2008-10-30,2008-11-06,polityka-kultura-gdańsk-salon24.pl-zagadka-historia-wydarzenie dnia-kazimierz bańburski-główne miasto-wybory-po-popiełuszko-jerzy popiełuszko-nowy salon-debata-ludzie-niemcy-waldemar chrostowski-włóczykij-gps65
103,2008-11-02,2008-11-09,polityka-kultura-gdańsk-zagadka-historia-debata-wydarzenie dnia-główne miasto-salon24.pl-lech kaczyński-chrostowski-wspomnienia-lewica-stalin-jerzy popiełuszko-popiełuszko-ludzie-kazimierz bańburski-waldemar chrostowski-ksiądz jerzy
104,2008-11-05,2008-11-12,polityka-kultura-gdańsk-wydarzenie dnia-historia-lech kaczyński-zagadka-różności-główne miasto-nocne-marek ciesielczyk-debata-sci-fi-polska-film-ludzie-kazimierz bańburski-sb w tarnowie-ksiądz jerzy-włóczykij
105,2008-11-08,2008-11-15,polityka-kultura-historia-po-włóczykij-gdańsk-gps65-główne miasto-stalin-obama-wspomnienia-zagadka-usa-prawo prasowe-salon24-ludzie-rewolucja październikowa-polska-film-rząd
106,2008-11-11,2008-11-18,polityka-kultura-historia-wspomnienia-po-salon24.pl-rząd-gdańsk-debata-salon24-zagadka-gps65-lenin-tusk-prawo prasowe-główne miasto-ptaki-prasa-rewolucja październikowa-włóczykij
107,2008-11-14,2008-11-21,polityka-kultura-gdańsk-salon24.pl-po-historia-zagadka-debata-wydarzenie dnia-główne miasto-tusk-salon24-rząd-pzpn-wspomnienia-lenin-prawica-stalin-donald-prawo prasowe
108,2008-11-17,2008-11-24,polityka-kultura-wydarzenie dnia-salon24.pl-gdańsk-zagadka-różności-fym-główne miasto-służby-biznes-debata-piotr chajderowski-stare baby-pro milito-marian gawrylczyk-chajderowski-po-sławomir nowak-prawica
109,2008-11-20,2008-11-27,polityka-kultura-wydarzenie dnia-salon24.pl-gdańsk-fym-zagadka-główne miasto-różności-rosja-biznes-włóczykij-hiszpania-polska-media-konopa-wolność słowa-gruzja-ptaki-dedykacje
110,2008-11-23,2008-11-30,polityka-kultura-wydarzenie dnia-gdańsk-zagadka-biznes-różności-polska-włóczykij-etyka-lotos-główne miasto-po-fym-prezydent-media-salon24.pl-bezpieczeństwo energetyczne-historia-stare przedmieście
111,2008-11-26,2008-12-03,polityka-kultura-polska-wydarzenie dnia-gdańsk-zagadka-etyka-prezydent-włóczykij-debata-biznes-media-fym-różności-po-spotkanie-premier-historia-stare baby-sąd
112,2008-11-29,2008-12-06,polityka-kultura-spotkanie-zagadka-po-fym-włóczykij-różności-polska-gdańsk-anioły-etyka-wydarzenie dnia-palikot-salon24.pl-media-katolicyzm-wsi-prezydent-wałęsa megalomania
113,2008-12-02,2008-12-09,polityka-kultura-gdańsk-po-zagadka-polska-fym-człowiek-tusk-spotkanie-salon24.pl-bolek-prezydent-etyka-włóczykij-anioły-wycieczki śmieszne-wałęsa megalomania-premier-stwórca
